,address,built,link,name,phone,renovated,rent_high,rent_low,units,websiteLink
0,"49300 Crabtree Crossing, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2019</li>",https://www.apartments.com/park-west-canton-mi/eknjtbm/,Park West,734-344-5126,not renovated,2349,1899,"<li><span class=""bullet"">•</span>206 Units/2 Stories</li>",https://www.singhapartments.com/apartments/mi/canton/crabtree-crossing/
1,"201 Cassia Ct, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2005</li>",https://www.apartments.com/the-pointe-at-canton-apartments-townhomes-canton-mi/vykyqsg/,The Pointe at Canton Apartments & Townhomes,734-259-3688,"<li><span class=""bullet"">•</span>Renovated in Jan 2005</li>",1785,1295,"<li><span class=""bullet"">•</span>195 Units/2 Stories</li>",http://www.thepointeatcanton.com/
2,"41140 Canton Ct, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 1971</li>",https://www.apartments.com/meadowood-townhomes-canton-mi/cweqgsg/,Meadowood Townhomes,877-251-5488,not renovated,1260,950,"<li><span class=""bullet"">•</span>452 Units/2 Stories</li>",http://www.dhsmgt.com/community_model/meadowood_townhomes
3,"8375 Honeytree Blvd, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1968</li>",https://www.apartments.com/crossings-at-canton-canton-mi/jg3qbm7/,Crossings at Canton,844-553-9158,"<li><span class=""bullet"">•</span>Renovated in Jan 2020</li>",1799,845,"<li><span class=""bullet"">•</span>744 Units/3 Stories</li>",http://www.crossingsatcanton.com/
4,"49000 Denton Rd, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/harbour-club-belleville-mi/h52x3p2/,Harbour Club,888-351-3899,"<li><span class=""bullet"">•</span>1112 Units/3 Stories</li>",2855,791,"<li><span class=""bullet"">•</span>Furnished</li>",https://www.harbourclubmi.com/?utm_knock=a
5,"46161 Village Green Dr, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1973</li>",https://www.apartments.com/the-parks-of-belleville-belleville-mi/p7x83cr/,The Parks Of Belleville,844-256-5355,"<li><span class=""bullet"">•</span>Renovated in Jan 2000</li>",975,730,"<li><span class=""bullet"">•</span>168 Units/3 Stories</li>",http://www.dhsmgt.com/community_model/the_parks_of_belleville
6,"37115 McKinney Ave, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1985</li>",https://www.apartments.com/warris-farms-apartments-westland-mi/wr4szth/,Warris Farms Apartments,844-735-3342,"<li><span class=""bullet"">•</span>Renovated in Jan 2003</li>",1375,900,"<li><span class=""bullet"">•</span>216 Units/3 Stories</li>",No website link
7,"1673 Fairwood Dr, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1969</li>",https://www.apartments.com/willow-creek-apartments-westland-mi/p5n81vs/,Willow Creek Apartments,734-629-4322,not renovated,1050,775,"<li><span class=""bullet"">•</span>408 Units/2 Stories</li>",http://harvest-properties.com/property/willow-creek-apartments/
8,"49975 Roanoke Ave, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2005</li>",https://www.apartments.com/uptown-canton-mi/9fml4j6/,Uptown,866-652-7659,"<li><span class=""bullet"">•</span>501 Units/3 Stories</li>",2565,1008,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.uptownapts.com/
9,"7655 Balmoral Dr, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1986</li>",https://www.apartments.com/pilgrim-village-canton-mi/0eqh4r3/,Pilgrim Village,734-329-0059,not renovated,1500,1125,"<li><span class=""bullet"">•</span>294 Units/2 Stories</li>",No website link
10,"41420 Village Green Blvd, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1991</li>",https://www.apartments.com/village-club-of-canton-apartments-canton-mi/9pfe8z5/,Village Club of Canton Apartments,844-675-9377,not renovated,1405,950,"<li><span class=""bullet"">•</span>272 Units/2 Stories</li>",https://www.cityclubapartments.com/usa/canton-mi/wayne-county/village-club-of-canton/
11,"41376 Williamsburg Blvd, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2001</li>",https://www.apartments.com/wyndchase-canton-mi/wrlkr3l/,Wyndchase,866-565-9417,"<li><span class=""bullet"">•</span>341 Units/2 Stories</li>",2160,1220,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.singhapartments.com/apartments/Canton_MI/zip_48187/singh_management/4562
12,"41265 Crossbow Cir, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 1999</li>",https://www.apartments.com/canton-club-canton-mi-canton-mi/s7t0cf6/,"Canton Club - Canton, MI",844-351-2633,not renovated,1655,1150,"<li><span class=""bullet"">•</span>148 Units/2 Stories</li>",http://www.cantonclubeast.com/
13,"2372 Monument Ln, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 2015</li>",https://www.apartments.com/redwood-canton-canton-mi/d7401jh/,Redwood Canton,855-282-0737,"<li><span class=""bullet"">•</span>94 Units/1 Story</li>",1909,1784,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.byredwood.com/apartments/mi/canton/redwood-canton/index.aspx
14,"6900 Foxthorn Rd, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1984</li>",https://www.apartments.com/bainbridge-park-canton-mi-canton-mi/rewpzs1/,"Bainbridge Park - Canton, MI",734-217-4397,not renovated,1299,1099,"<li><span class=""bullet"">•</span>194 Units/2 Stories</li>",http://www.bainbridgeparkapartments.com/
15,"5600 Fordham Cir, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1975</li>",https://www.apartments.com/fordham-green-canton-mi/kpb6619/,Fordham Green,844-233-8725,not renovated,1330,790,"<li><span class=""bullet"">•</span>146 Units/2 Stories</li>",http://www.beaconmanagement.com/property/fordham-green/
16,"6501 Yale St, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1973</li>",https://www.apartments.com/sky-gate-apartments-westland-mi/j4jwz45/,Sky Gate Apartments,734-366-1042,"<li><span class=""bullet"">•</span>Renovated in Jan 2007</li>",892,684,"<li><span class=""bullet"">•</span>426 Units/9 Stories</li>",http://www.nadeergroup.com/apartments/mi/westland/sky-gate-apartments/
17,"37410 Fountain Park Cir, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1986</li>",https://www.apartments.com/fountain-park-westland-apartments-westland-mi/bl2jh6c/,Fountain Park Westland Apartments,866-377-0766,not renovated,892,684,"<li><span class=""bullet"">•</span>448 Units/2 Stories</li>",No website link
18,"301-311 Plymouth Rd, Plymouth, MI 48170","<li><span class=""bullet"">•</span>Built in 2017</li>",https://www.apartments.com/starkweather-lofts-plymouth-mi/j89ce85/,Starkweather Lofts,248-607-6369,not renovated,2200,1750,"<li><span class=""bullet"">•</span>94 Units/4 Stories</li>",http://www.starkweatherlofts.com/
19,"17400 Cedar Lake Cir, Northville, MI 48168","<li><span class=""bullet"">•</span>Built in 1987</li>",https://www.apartments.com/cedar-lake-apartments-townhomes-northville-mi/2f52twc/,Cedar Lake Apartments & Townhomes,248-255-4036,not renovated,2790,1936,"<li><span class=""bullet"">•</span>176 Units/2 Stories</li>",http://cedarlakeapartmenthomes.com/
20,"9126 N Lilley Rd, Plymouth, MI 48170","<li><span class=""bullet"">•</span>Built in 1960</li>",https://www.apartments.com/plymouth-manor-plymouth-mi/vchpdgg/,Plymouth Manor,800-467-0051,not renovated,999,859,"<li><span class=""bullet"">•</span>138 Units/2 Stories</li>",https://www.york-plymouthmanor.com/
21,"7280 Wilderness Park Dr, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1985</li>",https://www.apartments.com/wilderness-park-apartments-westland-mi/gs0k5jz/,Wilderness Park Apartments,734-367-4863,not renovated,935,875,"<li><span class=""bullet"">•</span>240 Units/3 Stories</li>",https://www.ssmgtgroup.com/
22,"18800 Innsbrook Dr, Northville, MI 48168","<li><span class=""bullet"">•</span>Built in 1988</li>",https://www.apartments.com/northville-woods-northville-mi/2ynjs88/,Northville Woods,888-556-5041,not renovated,1449,1024,"<li><span class=""bullet"">•</span>274 Units/2 Stories</li>",http://www.northvillewoods.com/
23,"746-1 S Mill St, Plymouth, MI 48170",,https://www.apartments.com/plymouth-hills-apartments-plymouth-mi/ssfg3w4/,Plymouth Hills Apartments,844-890-5014,,1075,975,,http://www.plymouthhills.com/
24,"7480 Windsor Woods Dr, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1979</li>",https://www.apartments.com/windsor-woods-apartments-canton-mi/8rzps92/,Windsor Woods Apartments,734-357-8782,not renovated,1125,810,"<li><span class=""bullet"">•</span>149 Units/2 Stories</li>",No website link
25,"17400 Cedar Lake Cir, Northville, MI 48168","<li><span class=""bullet"">•</span>Built in 1987</li>",https://www.apartments.com/cedar-lake-apartments-townhomes-northville-mi/2f52twc/,Cedar Lake Apartments & Townhomes,248-255-4036,not renovated,2790,1936,"<li><span class=""bullet"">•</span>176 Units/2 Stories</li>",http://cedarlakeapartmenthomes.com/
26,"9126 N Lilley Rd, Plymouth, MI 48170","<li><span class=""bullet"">•</span>Built in 1960</li>",https://www.apartments.com/plymouth-manor-plymouth-mi/vchpdgg/,Plymouth Manor,800-467-0051,not renovated,999,859,"<li><span class=""bullet"">•</span>138 Units/2 Stories</li>",https://www.york-plymouthmanor.com/
27,"7280 Wilderness Park Dr, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1985</li>",https://www.apartments.com/wilderness-park-apartments-westland-mi/gs0k5jz/,Wilderness Park Apartments,734-367-4863,not renovated,935,875,"<li><span class=""bullet"">•</span>240 Units/3 Stories</li>",https://www.ssmgtgroup.com/
28,"1428 Village Ln, Ypsilanti, MI 48198","<li><span class=""bullet"">•</span>Built in 1969</li>",https://www.apartments.com/village-grove-of-ypsilanti-ypsilanti-mi/c6n3kkf/,Village Grove of Ypsilanti,734-547-3820,not renovated,995,745,"<li><span class=""bullet"">•</span>247 Units/2 Stories</li>",No website link
29,"815-855 Green Rd, Ypsilanti, MI 48198","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/the-park-at-river-woods-ypsilanti-mi/7dvq68z/,The Park at River Woods,734-547-3007,"<li><span class=""bullet"">•</span>168 Units/2 Stories</li>",1028,813,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.huronview-apts.com/
30,"18800 Innsbrook Dr, Northville, MI 48168","<li><span class=""bullet"">•</span>Built in 1988</li>",https://www.apartments.com/northville-woods-northville-mi/2ynjs88/,Northville Woods,888-556-5041,not renovated,1449,1024,"<li><span class=""bullet"">•</span>274 Units/2 Stories</li>",http://www.northvillewoods.com/
31,"746-1 S Mill St, Plymouth, MI 48170",,https://www.apartments.com/plymouth-hills-apartments-plymouth-mi/ssfg3w4/,Plymouth Hills Apartments,844-890-5014,,1075,975,,http://www.plymouthhills.com/
32,"2277 Grove Rd, Ypsilanti, MI 48198","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/arbor-circle-1-month-free-500-off-ypsilanti-mi/fc7rhct/,Arbor Circle - 1 Month Free / $500 Off,734-480-8314,not renovated,995,849,"<li><span class=""bullet"">•</span>112 Units/3 Stories</li>",https://www.kaftancommunities.com/our-communities/arbor-circle.html?utm_knock=a
33,"7480 Windsor Woods Dr, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1979</li>",https://www.apartments.com/windsor-woods-apartments-canton-mi/8rzps92/,Windsor Woods Apartments,734-357-8782,not renovated,1125,810,"<li><span class=""bullet"">•</span>149 Units/2 Stories</li>",No website link
34,"47387 Victorian Blvd N, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 2003</li>",https://www.apartments.com/turnbury-park-canton-mi/pseexbr/,Turnbury Park,734-325-1448,"<li><span class=""bullet"">•</span>161 Units/2 Stories</li>",2109,1392,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.singhapartments.com/apartments/Canton_MI/zip_48188/singh_management/4560
35,"45464 Elmwood Cir, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 1999</li>",https://www.apartments.com/summit-creek-canton-mi/j6ysty6/,Summit Creek,734-325-1522,"<li><span class=""bullet"">•</span>Renovated in Jan 2002</li>",2036,1394,"<li><span class=""bullet"">•</span>195 Units/2 Stories</li>",http://www.singhapartments.com/luxury_apartments/Canton_MI/zip_48188/singh_management/4559
36,"40645 Douglas Dr, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 1988</li>",https://www.apartments.com/autumn-ridge-apartments-canton-mi/rj49b71/,Autumn Ridge Apartments,734-547-3839,not renovated,1048,883,"<li><span class=""bullet"">•</span>176 Units/2 Stories</li>",http://www.autumnridge-apt.com/
37,"8500-8790 Brooke Park Dr, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1973</li>",https://www.apartments.com/stoneybrooke-apartments-canton-mi/x2rrgrm/,Stoneybrooke Apartments,866-611-3779,"<li><span class=""bullet"">•</span>Renovated in Jan 2000</li>",795,685,"<li><span class=""bullet"">•</span>492 Units/2 Stories</li>",http://www.hartmantyner.com/stoneybrooke/
38,"5955 Edinburgh St, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1971</li>",https://www.apartments.com/village-squire-apartments-canton-mi/xc5558q/,Village Squire Apartments,866-653-4810,not renovated,785,655,"<li><span class=""bullet"">•</span>600 Units/2 Stories</li>",http://www.hartmantyner.com/villagesquire/
39,"1681 Columbus Dr, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 1974</li>",https://www.apartments.com/franklin-palmer-apartments-canton-mi/9f9p8w5/,Franklin Palmer Apartments,734-329-5735,not renovated,1069,869,"<li><span class=""bullet"">•</span>121 Units/2 Stories</li>",https://www.princetonmanagement.com/apartments/michigan/franklin-palmer-apartments/
40,"41021 Old Michigan Ave, Canton, MI 48188",,https://www.apartments.com/academy-westpoint-canton-mi/cf7f6pe/,Academy - Westpoint,844-827-4800,,1249,929,,http://www.academywestpoint.com/
41,"42232 Addison Ave, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/bedford-square-500-off-move-in-canton-mi/215dpb9/,Bedford Square - $500 Off Move In,844-874-5560,not renovated,1029,904,"<li><span class=""bullet"">•</span>48 Units/2 Stories</li>",https://www.kaftancommunities.com/our-communities/bedford-square.html?utm_knock=a
42,"7699 Shaw Ln, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2019</li>",https://www.apartments.com/northgate-of-canton-canton-mi/vrmhmwe/,Northgate of Canton,734-366-1159,not renovated,2099,1899,"<li><span class=""bullet"">•</span>24 Units/1 Story</li>",No website link
43,"42250 Carriage Cove Dr, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1984</li>",https://www.apartments.com/carriage-cove-canton-mi/z3nwxzy/,Carriage Cove,248-817-8067,not renovated,895,800,"<li><span class=""bullet"">•</span>208 Units/2 Stories</li>",No website link
44,"8660 Walton Blvd, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/canton-garden-apartments-canton-mi/518nh8m/,Canton Garden Apartments,844-230-0444,not renovated,1100,700,"<li><span class=""bullet"">•</span>136 Units/2 Stories</li>",No website link
45,"159-209 S Grove St, Ypsilanti, MI 48198","<li><span class=""bullet"">•</span>Built in 1969</li>",https://www.apartments.com/the-red-lion-ypsilanti-mi/evsc82n/,The Red Lion,734-547-3833,"<li><span class=""bullet"">•</span>Renovated in Jan 1989</li>",925,815,"<li><span class=""bullet"">•</span>192 Units/3 Stories</li>",http://theredlionapartments.com/
46,"10341 Westlake Cir, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 2009</li>",https://www.apartments.com/westlake-apartments-belleville-mi/5nz7whq/,Westlake Apartments,734-732-4487,not renovated,1595,976,"<li><span class=""bullet"">•</span>509 Units/3 Stories</li>",http://www.edwardrose.com/westlake
47,"130 E Tami Cir, Westland, MI 48186","<li><span class=""bullet"">•</span>Built in 1970</li>",https://www.apartments.com/west-garden-apartments-westland-mi/1emjhq5/,West Garden Apartments,248-289-5741,not renovated,895,725,"<li><span class=""bullet"">•</span>159 Units/3 Stories</li>",http://www.westgardensapartments.com/home.html
48,"35411 Hickory Green Ct, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1989</li>",https://www.apartments.com/hickory-green-westland-mi/8h5w7e0/,Hickory Green,734-329-5747,not renovated,950,850,"<li><span class=""bullet"">•</span>60 Units/2 Stories</li>",http://www.dhsmgt.com/community_model/hickory_green
49,"5800 N Christine Ave, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1971</li>",https://www.apartments.com/hampton-court-westland-mi/gjht77w/,Hampton Court,734-589-0088,"<li><span class=""bullet"">•</span>Renovated in Jan 2005</li>",1190,730,"<li><span class=""bullet"">•</span>182 Units/3 Stories</li>",http://www.beaconmanagement.com/property/hampton-court-apartments/
50,"7127 Bonnie Dr W, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1968</li>",https://www.apartments.com/venoy-pines-westland-mi/8te28s1/,Venoy Pines,800-767-2971,not renovated,889,759,"<li><span class=""bullet"">•</span>161 Units/2 Stories</li>",No website link
51,"39670 Greenview Pl, Plymouth, MI 48170","<li><span class=""bullet"">•</span>Built in 1968</li>",https://www.apartments.com/twin-arbors-apartments-plymouth-mi/ly4hh6g/,Twin Arbors Apartments,734-469-3184,not renovated,1595,1026,"<li><span class=""bullet"">•</span>148 Units/2 Stories</li>",http://www.twinarbors.com/
52,"6954 N Inkster Rd, Dearborn Heights, MI 48127","<li><span class=""bullet"">•</span>Built in 1965</li>",https://www.apartments.com/cambridge-apartments-dearborn-heights-mi/39r9s7g/,Cambridge Apartments,800-830-4737,not renovated,959,759,"<li><span class=""bullet"">•</span>192 Units/2 Stories</li>",http://www.yorkcommunities.com/prop_index.php?id=5&prop_image=>&prop_frontimg=cambridge_front.jpg
53,"31461 Block St, Garden City, MI 48135","<li><span class=""bullet"">•</span>Built in 1974</li>",https://www.apartments.com/bentley-square-apartments-garden-city-mi/ms82ceh/,Bentley Square Apartments,844-402-9806,not renovated,889,779,"<li><span class=""bullet"">•</span>64 Units/3 Stories</li>",No website link
54,"31680 Cowan Rd, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1966</li>",https://www.apartments.com/hines-park-apartments-westland-mi/vrrmvte/,Hines Park Apartments,844-781-8016,not renovated,710,595,"<li><span class=""bullet"">•</span>264 Units/3 Stories</li>",http://www.hartmantyner.com/hinespark/
55,"37140 S Orchard Cir, Westland, MI 48186","<li><span class=""bullet"">•</span>Built in 1970</li>",https://www.apartments.com/orchards-of-newburgh-westland-mi/sf7jl45/,Orchards Of Newburgh,800-387-4131,not renovated,889,769,"<li><span class=""bullet"">•</span>160 Units/2 Stories</li>",http://www.yorkcommunities.com/prop_feat.php?id=6&prop_image=&prop_frontimg=orchards_front.jpg
56,"7000 Lakeview Blvd, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1979</li>",https://www.apartments.com/the-landings-westland-mi/sg3jkw5/,The Landings,734-403-3505,not renovated,1282,736,"<li><span class=""bullet"">•</span>1055 Units/3 Stories</li>",http://www.edwardrose.com/thelandings
57,"37255 S Woodbridge Cir, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1993</li>",https://www.apartments.com/turtle-cove-apartments-westland-mi/b2jfdeb/,Turtle Cove Apartments,844-878-3822,not renovated,1485,995,"<li><span class=""bullet"">•</span>192 Units/2 Stories</li>",https://www.turtlecovewestland.com/
58,"370 Hickory Ln, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1971</li>",https://www.apartments.com/hickory-woods-westland-mi/hw54q90/,Hickory Woods,844-259-3319,not renovated,1485,995,"<li><span class=""bullet"">•</span>144 Units/2 Stories</li>",No website link
59,"10910 Independence Ln, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1988</li>",https://www.apartments.com/the-trilogy-apartments-belleville-mi/nw6c9ep/,The Trilogy Apartments,734-732-4652,not renovated,1429,777,"<li><span class=""bullet"">•</span>620 Units/3 Stories</li>",http://continentalmgt.rentlinx.com/41470-E-Archwood-Dr-Belleville-MI-48111
60,"10830 Oak Ln, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1989</li>",https://www.apartments.com/southport-apartments-belleville-mi/nvnv23n/,Southport Apartments,734-796-1667,not renovated,1397,901,"<li><span class=""bullet"">•</span>766 Units/3 Stories</li>",http://www.edwardrose.com/southport
61,"11551 Quirk Rd, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1996</li>",https://www.apartments.com/green-meadows-belleville-mi/78fyfez/,Green Meadows,844-496-2288,"<li><span class=""bullet"">•</span>Renovated in Jan 2013</li>",1360,860,"<li><span class=""bullet"">•</span>144 Units/2 Stories</li>",http://www.greenmeadowsbelleville.com/
62,"25900 Chelsea Park Dr, Taylor, MI 48180","<li><span class=""bullet"">•</span>Built in 2005</li>",https://www.apartments.com/chelsea-park-apartments-taylor-mi/r7jq0s3/,Chelsea Park Apartments,844-506-8322,not renovated,1540,1099,"<li><span class=""bullet"">•</span>160 Units/3 Stories</li>",https://www.chelseaparktaylor.com/?utm_medium=paid+social&utm_source=apts.com&utm_campaign=cpmi-apts.com&utm_content=homepage
63,"14931 Farmington Rd, Livonia, MI 48154","<li><span class=""bullet"">•</span>Built in 2020</li>",https://www.apartments.com/aletha-b-phipps-apartments-55-and-over-livonia-mi/4xlfw6l/,Aletha B. Phipps Apartments 55 and Over,844-263-6627,not renovated,1530,1280,"<li><span class=""bullet"">•</span>76 Units/4 Stories</li>",http://www.alethaapartments.com/
64,"7080-7080 Niagara St, Romulus, MI 48174","<li><span class=""bullet"">•</span>Built in 1968</li>",https://www.apartments.com/concorde-club-apartments-romulus-mi/ejclh6n/,Concorde Club Apartments,844-874-2688,not renovated,829,770,"<li><span class=""bullet"">•</span>160 Units/2 Stories</li>",http://www.concordeclub-apts.com/
65,"7344 Drew Cir, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1984</li>",https://www.apartments.com/woodland-villa-apartments-westland-mi/ekqhxnm/,Woodland Villa Apartments,844-495-0187,"<li><span class=""bullet"">•</span>264 Units/3 Stories</li>",1095,895,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.woodlandvillaapts.com/
66,"46020 Lake Villa Dr, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1970</li>",https://www.apartments.com/belleville-pointe-apartments-belleville-mi/y9vdmft/,Belleville Pointe Apartments,734-961-4362,not renovated,1300,785,"<li><span class=""bullet"">•</span>120 Units/3 Stories</li>",https://princetonmanagement.com/apartments/michigan/belleville-pointe-apartments/
67,"5900 Bridge Rd, Ypsilanti, MI 48197","<li><span class=""bullet"">•</span>Built in 1976</li>",https://www.apartments.com/lake-pointe-ypsilanti-mi/zdmcf0y/,Lake Pointe,844-202-2616,not renovated,985,825,"<li><span class=""bullet"">•</span>141 Units/9 Stories</li>",http://www.princetonmanagement.com/
68,"24268 Haskell St, Taylor, MI 48180","<li><span class=""bullet"">•</span>Built in 1965</li>",https://www.apartments.com/fairlane-apartments-townhomes-taylor-mi/0je2gq0/,Fairlane Apartments & Townhomes,313-437-9959,not renovated,765,580,"<li><span class=""bullet"">•</span>204 Units/2 Stories</li>",http://www.hartmantyner.com/fairlane/
69,"9960 Wayne Rd, Romulus, MI 48174","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/barrington-apartments-romulus-mi/1yb6w37/,Barrington Apartments,734-535-1563,not renovated,949,699,"<li><span class=""bullet"">•</span>312 Units/3 Stories</li>",http://www.thebarringtonapts.com/barrington-romulus-mi/contact
70,"37650 Dale Dr, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/newburgh-square-apartments-westland-mi/6xkwwjr/,Newburgh Square Apartments,734-389-7276,not renovated,976,658,"<li><span class=""bullet"">•</span>376 Units/3 Stories</li>",No website link
71,"26322 Westphal St, Dearborn Heights, MI 48127","<li><span class=""bullet"">•</span>Built in 1965</li>",https://www.apartments.com/carriage-hill-apartments-dearborn-heights-mi/34q8nke/,Carriage Hill Apartments,888-716-1702,not renovated,1017,790,"<li><span class=""bullet"">•</span>160 Units/2 Stories</li>",No website link
72,"6737 N Wayne Rd, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1965</li>",https://www.apartments.com/waynewood-apartments-westland-mi/scs0n84/,Waynewood Apartments,844-743-5270,not renovated,860,760,"<li><span class=""bullet"">•</span>248 Units/2 Stories</li>",No website link
73,"37830 Westwood Cir, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1971</li>",https://www.apartments.com/westwood-village-apartments-westland-mi/vzex0mf/,Westwood Village Apartments,734-259-3369,"<li><span class=""bullet"">•</span>540 Units/2 Stories</li>",1225,920,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.westwoodvillagemi.com/
74,"7560 Merriman Rd, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1968</li>",https://www.apartments.com/hawthorne-club-apartments-westland-mi/9rgrgw7/,Hawthorne Club Apartments,844-874-0722,not renovated,805,695,"<li><span class=""bullet"">•</span>253 Units/3 Stories</li>",https://www.princetonmanagement.com/apartments/michigan/hawthorne-club-apartments/
